raw_name,taxon_name,level_1,indicator
Centaurea solstitialis,centaurea_solstitialis,Centaurea nigra-type,FALSE
Centaurea solstitialis-type,centaurea_solstitialis_type,Centaurea nigra-type,FALSE
Centaurea stoebe,centaurea_stoebe,Centaurea nigra-type,FALSE
Centaurea stoebe-type,centaurea_stoebe_type,Centaurea nigra-type,FALSE
Centaurea undiff.,centaurea_undiff,Centaurea,FALSE
Centaurea/Serratula,centaurea_serratula,Compositae subfam. Asteroideae,FALSE
Centaurium,centaurium,Centaurium,FALSE
Centaurium-type,centaurium_type,Centaurium,FALSE
Centaurium pulchellum,centaurium_pulchellum,Centaurium,FALSE
Centaurium pulchellum-type,centaurium_pulchellum_type,Centaurium,FALSE
Centranthus,centranthus,Centranthus,FALSE
Cerastium,cerastium,Cerastium-type,FALSE
Cerastium-type,cerastium_type,Cerastium-type,FALSE
Cerastium alpinum-type,cerastium_alpinum_type,Cerastium-type,FALSE
Cerastium arvense,cerastium_arvense,Cerastium-type,FALSE
Cerastium arvense-type,cerastium_arvense_type,Cerastium-type,FALSE
Cerastium cerastoides,cerastium_cerastoides,Cerastium-type,FALSE
Cerastium cerastoides-type,cerastium_cerastoides_type,Cerastium-type,FALSE
Cerastium fontanum,cerastium_fontanum,Cerastium-type,FALSE
Cerastium fontanum-type,cerastium_fontanum_type,Cerastium-type,FALSE
Cerastium undiff.,cerastium_undiff,Cerastium-type,FALSE
Cerastium uniflorum,cerastium_uniflorum,Cerastium-type,FALSE
Ceratonia,ceratonia,Ceratonia siliqua,FALSE
Ceratonia siliqua,ceratonia_siliqua,Ceratonia siliqua,FALSE
Cerinthe,cerinthe,Cerinthe,FALSE
cf Brassicaceae,cf_brassicaceae,Brassicaceae,FALSE
cf Centaurium,cf_centaurium,Gentianaceae,FALSE
cf Convolvulus,cf_convolvulus,Convolvulus,FALSE
cf Euphorbia,cf_euphorbia,Euphorbia,FALSE
cf Fabaceae,cf_fabaceae,Fabaceae,FALSE
cf Lamiaceae,cf_lamiaceae,Lamiaceae,FALSE
cf Lonicera,cf_lonicera,Lonicera,FALSE
cf Quercus,cf_quercus,Quercus robur-type,FALSE
cf Ranunculus,cf_ranunculus,Ranunculus-type,FALSE
cf Samolus,cf_samolus,Samolus,FALSE
cf Viola,cf_viola,Viola,FALSE
cf. Acorus,cf_acorus,Acorus,FALSE
cf. Alchemilla,cf_alchemilla,Alchemilla,FALSE
cf. Anagallis,cf_anagallis,Anagallis,FALSE
cf. Androsace,cf_androsace,Androsace,FALSE
cf. Anthericum,cf_anthericum,Anthericum,FALSE
cf. Armeria,cf_armeria,Plumbaginaceae,FALSE
cf. Armeria (type A),cf_armeria_type_a,Plumbaginaceae,FALSE
cf. Artemisia,cf_artemisia,Artemisia,FALSE
cf. Avena,cf_avena,Cerealia-type,TRUE
cf. Cannabis,cf_cannabis,Cannabis/Humulus,FALSE
cf. Cannabis sativa,cf_cannabis_sativa,Cannabis/Humulus,FALSE
